Country,Year,Disease Name,Disease Category,PrevalenceRate,IncidenceRate,MortalityRate,AgeMin,AgeMax,Gender,Population Affected,HealthcareAccess,Doctors per 1000,Hospital Beds per 1000,Treatment Type,AvgTreatmentCost USD,VaccineAvailable,RecoveryRate,DALYs,Improvement5Yr,PerCapitaIncomeUSD,UrbanizationRate,Disease Category.1,RecoveryRateFlag,CostCategory,IsHighRisk,TestErrorCheck,TestErrorCheck.1
Usa,2024,Dengue,Viral,1.82,2.98,7.01,36,60,Female,623844,96.83,0.56,9.72,Medication,4664,No,87.75,484,8.11,56179,29,Viral,OK,Low,High Risk,0,
Nigeria,2007,Diabetes,Infectious,8.92,13.19,5.52,36,60,Female,227849,84.41,1.37,9.57,Therapy,45685,No,68.02,423,3.98,60608,68.17,Metabolic,OK,High,High Risk,0,
Italy,2000,Rabies,Chronic,15.59,4.74,6.38,19,35,Female,253110,87.87,4.56,5.84,Therapy,7669,Yes,59.23,2253,9.92,30849,41.27,Viral,OK,Low,High Risk,0,
Canada,2011,Leprosy,Cardiovascular,11.15,0.6,2.97,36,60,Female,76858,67.88,0.66,1.99,Surgery,19993,Yes,76.16,4238,1.23,44699,51.5,Bacterial,OK,Medium,Low Risk,0,
Nigeria,2009,Leprosy,Parasitic,15.18,14.95,8.21,0,18,Male,788926,87.33,3.96,4.49,Vaccination,31596,Yes,50.8,2773,0.79,6053,31.82,Bacterial,OK,High,High Risk,0,
Turkey,2019,Leprosy,Respiratory,8.74,1.42,1.54,19,35,Other,124225,59.94,0.8,6.22,Vaccination,20405,No,73.62,2958,4.22,50131,70.77,Bacterial,OK,Medium,Low Risk,0,
Indonesia,2001,Hypertension,Cardiovascular,3.24,0.43,2.12,36,60,Male,938294,54.07,3.14,9.09,Vaccination,32325,Yes,92.95,2110,4.93,86168,25.86,Cardiovascular,OK,High,Low Risk,0,
France,2004,Measles,Bacterial,11.4,5.15,7.77,61,60,Male,420730,86.28,4.73,0.73,Therapy,49545,Yes,52.4,968,1.11,64119,63.84,Viral,OK,High,High Risk,0,
Australia,2020,Zika,Parasitic,17.27,1.26,7.08,61,60,Male,766425,53.75,3.15,8.49,Therapy,20169,Yes,58.19,3731,4.51,48701,26.05,Viral,OK,Medium,High Risk,0,
France,2015,Polio,Respiratory,14.44,5.69,2.21,19,35,Other,959930,57.31,2.93,6.93,Medication,48221,Yes,54.8,1537,6.49,99481,28.24,Viral,OK,High,Low Risk,0,
China,2001,Ebola,Neurological,2.92,1.17,7.35,36,60,Other,276364,80.23,2.27,3.57,Surgery,28401,Yes,51.53,1742,1.47,8526,31.5,Viral,OK,High,High Risk,0,
South Africa,2014,Malaria,Bacterial,5.94,4.29,2.36,61,60,Female,857183,61.32,4.56,6.88,Therapy,14578,Yes,72.97,433,1.4,52974,43.97,Parasitic,OK,Medium,Low Risk,0,
Japan,2021,Diabetes,Autoimmune,11.24,4.78,5.68,19,35,Male,947147,66.78,4.46,1.2,Surgery,20397,Yes,98.55,4994,7.43,93229,46.04,Metabolic,OK,Medium,High Risk,0,
Usa,2000,Asthma,Metabolic,7.91,9.13,1.58,0,18,Male,365955,64.87,1.28,4.67,Therapy,8688,No,79.09,1480,9.56,85413,31.14,Respiratory,OK,Low,Low Risk,0,
Uk,2010,Diabetes,Genetic,10.58,12.3,2.37,0,18,Female,822231,66.36,1.31,9.32,Surgery,4533,Yes,52.91,4187,3.67,3239,71.13,Metabolic,OK,Low,Low Risk,0,
Canada,2001,Tuberculosis,Neurological,16.03,7.29,0.39,61,60,Male,804802,78.96,2.46,7.72,Therapy,1676,No,80.52,2653,8.64,60168,41.91, Bacterial,OK,Low,Low Risk,0,
Russia,2003,Measles,Neurological,1.45,12.86,3.21,36,60,Male,468005,63.31,2.53,1.41,Therapy,12119,No,90.01,4128,7.68,19846,34.35,Viral,OK,Medium,Low Risk,0,
Mexico,2022,Rabies,Neurological,11.63,8.99,0.54,36,60,Other,402997,90.8,2.36,8.25,Surgery,9975,No,84.78,3139,4.71,11786,87.24,Viral,OK,Low,Low Risk,0,
Uk,2019,Zika,Neurological,14.72,0.84,6.72,0,18,Male,294143,50,2.23,9.51,Vaccination,26485,No,66.32,434,6.07,35741,82.92,Viral,OK,High,High Risk,0,
Japan,2002,Alzheimer'S Disease,Respiratory,12.61,12.98,5.45,19,35,Male,116844,65.71,4.19,9.69,Vaccination,16118,No,64.88,747,8.59,4033,39.69,Neurological,OK,Medium,High Risk,0,
Saudi Arabia,2006,Cancer,Parasitic,15.12,9.04,6.9,0,18,Female,834340,91,3.02,2.05,Therapy,15983,No,89.49,3833,6.01,84531,80.19,Chronic,OK,Medium,High Risk,0,
Canada,2001,Malaria,Autoimmune,13.29,9.76,7.77,0,18,Male,205610,89.47,3.6,8.46,Medication,1190,No,67.79,1989,4.73,50405,38.11,Parasitic,OK,Low,High Risk,0,
Brazil,2003,Parkinson'S Disease,Viral,13.85,4.52,3.23,61,60,Male,700175,62.54,3.25,5.22,Medication,33734,Yes,75.62,4468,9.79,11089,24.44,Neurological,OK,High,Low Risk,0,
Canada,2019,Covid-19,Bacterial,2.08,12.8,0.1,36,60,Other,558329,55.52,0.78,6.89,Vaccination,36659,No,62.21,3997,6.08,21921,25.7,Viral,OK,High,Low Risk,0,
Brazil,2011,Parkinson'S Disease,Neurological,6.42,10.08,0.29,0,18,Other,136567,50.48,3.07,8.06,Surgery,18886,Yes,80.2,1595,5.37,41181,25.31,Neurological,OK,Medium,Low Risk,0,
France,2005,Diabetes,Metabolic,6.09,10.77,1.42,19,35,Other,267802,95.85,3.42,9.14,Medication,27027,No,82.82,3580,9.46,66816,48.75,Metabolic,OK,High,Low Risk,0,
Turkey,2006,Malaria,Cardiovascular,10.53,2.5,5.09,0,18,Male,923451,76.24,1.43,2.95,Vaccination,29311,Yes,93.53,110,6.45,51865,58.38,Parasitic,OK,High,High Risk,0,
Australia,2014,Hiv/Aids,Cardiovascular,12.52,3.13,9.14,19,35,Female,828045,68.61,0.9,8.3,Surgery,41081,Yes,61.53,2764,7.16,20964,85.65,Viral,OK,High,High Risk,0,
Japan,2022,Malaria,Metabolic,3.77,1.02,3,0,18,Male,509716,63.88,0.57,8.23,Vaccination,49265,No,51.6,4416,0.45,7171,36.94,Parasitic,OK,High,Low Risk,0,
France,2008,Tuberculosis,Respiratory,4.6,4.94,2.08,61,60,Female,215901,63.27,2.44,0.86,Therapy,35024,Yes,73.99,3893,0.04,35337,80.47, Bacterial,OK,High,Low Risk,0,
Mexico,2006,Dengue,Neurological,5.84,6.71,0.63,61,60,Other,999156,95.87,2.02,5.29,Therapy,47635,Yes,90.72,4251,3.48,9033,72.74,Viral,OK,High,Low Risk,0,
Indonesia,2000,Rabies,Bacterial,1.22,13.78,3.9,0,18,Male,723071,56.9,3.04,3.53,Therapy,45214,Yes,97.84,4746,3.3,24147,79.39,Viral,OK,High,Low Risk,0,
Turkey,2022,Measles,Chronic,6.97,2.22,6.35,36,60,Male,534508,91.15,0.62,5.87,Vaccination,24653,No,76.34,2649,3.99,17444,59.77,Viral,OK,Medium,High Risk,0,
Germany,2017,Cancer,Metabolic,3.04,2.12,4.46,61,60,Male,639082,96.85,1.99,2.73,Medication,33639,Yes,71.36,3351,8.09,20359,86.25,Chronic,OK,High,Low Risk,0,
Brazil,2003,Alzheimer'S Disease,Neurological,12.5,13.27,9.34,19,35,Male,280906,89.39,3.91,5.6,Surgery,16622,Yes,87.39,326,1.16,32806,70.08,Neurological,OK,Medium,High Risk,0,
Brazil,2010,Hiv/Aids,Autoimmune,0.13,13.99,1.46,36,60,Female,134964,69.35,5,0.55,Vaccination,14688,Yes,61.6,1804,7.23,57996,42.37,Viral,OK,Medium,Low Risk,0,
Uk,2003,Malaria,Chronic,1.08,0.18,3.54,61,60,Male,596241,85.86,2.84,5.94,Medication,31291,No,53.7,3352,8.65,55241,85.04,Parasitic,OK,High,Low Risk,0,
Australia,2009,Alzheimer'S Disease,Infectious,2.44,8.04,8.74,0,18,Other,283322,97.18,4.05,5.16,Therapy,26854,No,93.65,1398,7.02,49594,70.7,Neurological,OK,High,High Risk,0,
Saudi Arabia,2023,Hypertension,Metabolic,14.72,13.9,3.28,36,60,Female,28737,97.73,4.51,5.6,Medication,24176,No,85.19,783,3.9,8158,76.37,Cardiovascular,OK,Medium,Low Risk,0,
India,2003,Alzheimer'S Disease,Bacterial,0.19,14.26,8.38,0,18,Male,349846,72.29,3.1,5.47,Medication,35329,Yes,81.85,3788,8.8,91267,45.22,Neurological,OK,High,High Risk,0,
Nigeria,2002,Measles,Neurological,3.49,14,6.61,36,60,Male,786558,58.08,4.73,3.98,Vaccination,21612,No,74.02,2576,9.07,43869,40.08,Viral,OK,Medium,High Risk,0,
China,2022,Zika,Metabolic,17.12,4.84,7.71,36,60,Female,343352,98.3,0.87,7.39,Vaccination,43779,Yes,84.34,607,7.43,98415,37.01,Viral,OK,High,High Risk,0,
Argentina,2015,Cholera,Infectious,18.17,12.36,2.68,61,60,Male,417401,78.88,2.77,8.01,Therapy,26058,No,81.03,1210,7.43,29542,46.32,Bacterial,OK,High,Low Risk,0,
Argentina,2024,Cancer,Parasitic,10.94,12.88,6.25,61,60,Female,419192,94.54,1.99,5.36,Medication,16363,Yes,72.52,1274,5.36,9633,37.11,Chronic,OK,Medium,High Risk,0,
Italy,2008,Ebola,Chronic,15.94,11.73,6.37,0,18,Other,644854,51.11,4.32,5.53,Surgery,17197,No,74.51,2835,8.59,33096,45.7,Viral,OK,Medium,High Risk,0,
Russia,2019,Dengue,Autoimmune,13.86,0.79,1.18,0,18,Other,251830,71.56,0.73,0.67,Vaccination,29568,Yes,52.61,1731,6.47,12142,57.36,Viral,OK,High,Low Risk,0,
Usa,2011,Dengue,Chronic,10.45,11.76,5.57,36,60,Male,87481,99.11,2.64,1.49,Therapy,33766,Yes,80.17,393,9.96,56348,74.74,Viral,OK,High,High Risk,0,
Argentina,2007,Measles,Parasitic,15.6,0.63,7.03,61,60,Female,653664,80.52,1.42,1.64,Vaccination,49833,No,91.28,3292,8.75,4120,83.11,Viral,OK,High,High Risk,0,
Russia,2023,Leprosy,Bacterial,16.22,8.43,9.61,61,60,Other,422327,51.8,3.75,2.98,Therapy,27605,Yes,98.03,3145,4.23,13691,22.94,Bacterial,OK,High,High Risk,0,
China,2014,Polio,Cardiovascular,0.55,0.85,3.83,36,60,Female,123270,62.89,1.19,1.36,Vaccination,18513,Yes,58.47,4739,4.47,99993,26.87,Viral,OK,Medium,Low Risk,0,
Japan,2017,Tuberculosis,Genetic,13.63,8.09,7.03,36,60,Male,633115,55.2,2.62,4.59,Medication,22954,No,66.11,4969,0.13,52433,65.18, Bacterial,OK,Medium,High Risk,0,
Brazil,2013,Ebola,Metabolic,16.01,8.55,1.35,19,35,Male,384573,81.59,3.08,3.16,Medication,18972,No,70.43,3356,8.75,14196,63.55,Viral,OK,Medium,Low Risk,0,
Japan,2005,Influenza,Respiratory,8.6,13.42,2.32,36,60,Female,757834,82.86,2.72,5.17,Medication,14207,No,75.42,2297,3.93,22316,27.89,Viral,OK,Medium,Low Risk,0,
Nigeria,2010,Diabetes,Cardiovascular,18.17,6.2,2.12,19,35,Female,985553,88.65,3.82,5.76,Therapy,14348,No,88.66,1984,4.35,45639,73.39,Metabolic,OK,Medium,Low Risk,0,
Russia,2008,Asthma,Metabolic,1.69,7.96,7.09,0,18,Other,879623,98.94,1.41,3.93,Surgery,12685,No,72.26,760,5.6,44330,77.15,Respiratory,OK,Medium,High Risk,0,
Nigeria,2017,Hiv/Aids,Neurological,1.17,10.47,5.72,0,18,Other,368210,99.1,4.77,6.07,Medication,9051,No,96.1,4875,3.73,63276,35.5,Viral,OK,Low,High Risk,0,
France,2006,Ebola,Autoimmune,9.01,3.55,6.53,0,18,Other,773388,57.54,1.21,6.32,Surgery,2932,No,64.38,3280,6.27,74864,25.16,Viral,OK,Low,High Risk,0,
South Korea,2000,Alzheimer'S Disease,Genetic,3.96,5.55,0.62,36,60,Male,815017,80.67,1.09,3,Therapy,42062,Yes,67.77,800,5.45,91647,31.22,Neurological,OK,High,Low Risk,0,
Australia,2024,Measles,Genetic,5.88,12.37,4.73,36,60,Other,767034,81.29,3.62,6.73,Surgery,33829,No,75.4,2921,7.85,50348,56.51,Viral,OK,High,Low Risk,0,
South Africa,2017,Hepatitis,Neurological,10.72,6.64,7.89,0,18,Male,22434,93.27,1.15,5.08,Therapy,32840,No,70.46,3298,7.44,41156,41.79,Viral,OK,High,High Risk,0,
Argentina,2006,Measles,Infectious,3.95,4,8.84,0,18,Male,116183,77.08,4.75,6.01,Surgery,22983,No,64.73,3375,1.49,27909,79.55,Viral,OK,Medium,High Risk,0,
Usa,2002,Hepatitis,Respiratory,7.13,6.96,4.02,61,60,Other,251611,53.4,2.28,2.55,Therapy,45671,Yes,94.23,1869,1.21,84905,88.36,Viral,OK,High,Low Risk,0,
Usa,2012,Diabetes,Chronic,4.9,6.6,6.16,61,60,Female,438583,53.83,1.33,5.89,Surgery,40367,Yes,95.01,1674,5.37,48607,80.33,Metabolic,OK,High,High Risk,0,
Australia,2017,Cholera,Chronic,6.33,12.84,2.47,36,60,Female,183029,67.22,0.73,0.72,Therapy,39219,No,87.03,2658,3.29,30332,23.65,Bacterial,OK,High,Low Risk,0,
Turkey,2003,Hiv/Aids,Metabolic,18.56,0.9,7.51,0,18,Female,751970,92.95,0.89,2.85,Vaccination,25402,No,78.8,3688,2.15,57913,41.13,Viral,OK,High,High Risk,0,
India,2017,Polio,Cardiovascular,1.26,6.79,7.42,36,60,Other,243846,50.4,2.08,5.39,Medication,9681,No,60.5,4084,6.72,56210,78.17,Viral,OK,Low,High Risk,0,
India,2010,Ebola,Genetic,4.21,11,7.01,0,18,Male,656226,73.58,2.35,2.5,Medication,27378,Yes,75.42,1953,4.68,44096,84.27,Viral,OK,High,High Risk,0,
Turkey,2009,Parkinson'S Disease,Parasitic,0.13,4.88,5.56,36,60,Other,928625,77.83,1.09,7.68,Surgery,16925,No,92.6,1011,9.73,4928,21.46,Neurological,OK,Medium,High Risk,0,
Brazil,2024,Diabetes,Genetic,0.73,9.28,1.09,19,35,Male,4233,54.43,2.58,3.1,Therapy,2078,No,61.8,386,3.23,73287,25.44,Metabolic,OK,Low,Low Risk,0,
Saudi Arabia,2013,Zika,Cardiovascular,5.02,12.51,7.95,36,60,Male,438887,83.75,4.59,2.83,Medication,785,No,60.11,561,7.37,50267,34.56,Viral,OK,Low,High Risk,0,
Japan,2003,Zika,Cardiovascular,8.85,10.11,5.56,61,60,Male,176109,74.09,4.95,4.28,Vaccination,3231,No,67.02,2578,4.26,54291,45.8,Viral,OK,Low,High Risk,0,
Mexico,2013,Influenza,Neurological,6.53,3.9,6.61,19,35,Female,845940,59.02,1.28,6.74,Medication,13525,No,96.32,4051,8.44,20428,68.48,Viral,OK,Medium,High Risk,0,
Germany,2008,Polio,Metabolic,15.02,0.38,7.85,19,35,Male,675112,95.64,2.01,9.62,Medication,37518,Yes,62.14,4181,5.4,66035,84.16,Viral,OK,High,High Risk,0,
Uk,2001,Asthma,Respiratory,15.09,1.39,5.28,19,35,Other,196827,66.84,1.08,1.76,Surgery,44835,No,52,2761,8.41,97683,66.41,Respiratory,OK,High,High Risk,0,
France,2012,Polio,Genetic,17.97,14.95,0.51,61,60,Male,472620,70.33,4.06,6.18,Vaccination,38948,No,58.35,2145,7.04,48508,42.88,Viral,OK,High,Low Risk,0,
Italy,2002,Hepatitis,Metabolic,11.27,14.1,6.54,61,60,Other,411017,97.91,2.91,6.25,Surgery,1544,No,92.64,1654,3.75,6620,48.04,Viral,OK,Low,High Risk,0,
Russia,2009,Covid-19,Respiratory,19.48,10.41,3.4,19,35,Male,929016,97.88,0.86,6.51,Surgery,12023,Yes,86.8,1771,8.2,63115,57.31,Viral,OK,Medium,Low Risk,0,
Uk,2008,Cancer,Bacterial,8.12,8.58,5.85,0,18,Male,432506,57.81,0.79,6.69,Vaccination,40742,No,97.46,812,9.21,5939,32.76,Chronic,OK,High,High Risk,0,
Nigeria,2003,Polio,Infectious,8.2,13.28,8.04,19,35,Male,197972,56.79,2.71,6.53,Medication,27625,No,63.55,1881,4.38,2347,68.52,Viral,OK,High,High Risk,0,
Australia,2013,Cancer,Cardiovascular,16.13,7.82,2.81,36,60,Male,75709,99.72,3.31,9.49,Therapy,24545,No,57.43,2607,2.22,41811,37.57,Chronic,OK,Medium,Low Risk,0,
Canada,2015,Cholera,Respiratory,0.2,12.46,0.62,19,35,Male,997992,60.93,3.26,4.44,Therapy,10376,Yes,93.68,2406,4.59,72805,22.52,Bacterial,OK,Medium,Low Risk,0,
Uk,2023,Polio,Bacterial,10.69,5.69,3.12,19,35,Male,55467,53.02,3.58,2.32,Vaccination,10052,No,71.01,959,5.57,87935,89.02,Viral,OK,Medium,Low Risk,0,
South Africa,2001,Dengue,Viral,5.36,12.16,1.15,36,60,Other,943366,59.36,1.21,2.65,Therapy,19131,Yes,86.17,456,6.91,77661,39.8,Viral,OK,Medium,Low Risk,0,
Usa,2020,Influenza,Metabolic,8.06,0.4,2.78,61,60,Male,871292,60.95,2.81,8.16,Therapy,49671,Yes,58.75,1458,1.23,31474,55.38,Viral,OK,High,Low Risk,0,
Argentina,2012,Malaria,Genetic,2.71,10.97,5.68,19,35,Female,837164,95.72,3.28,3.33,Surgery,26506,Yes,89.14,2779,6.35,56606,67.91,Parasitic,OK,High,High Risk,0,
Brazil,2021,Malaria,Parasitic,12.12,4.91,5.55,0,18,Male,767760,76.47,3.31,9.86,Vaccination,38837,No,76.76,4643,6.57,53833,64.3,Parasitic,OK,High,High Risk,0,
China,2013,Cancer,Viral,15.57,4.01,4.44,36,60,Male,386948,98.78,4.17,7.51,Medication,3109,No,67.24,1330,7.33,77104,61.36,Chronic,OK,Low,Low Risk,0,
Brazil,2009,Rabies,Autoimmune,4.96,5.73,6.74,61,60,Male,468156,80.73,4.03,9.4,Therapy,15324,No,90.18,3420,9.89,94506,68.94,Viral,OK,Medium,High Risk,0,
Russia,2012,Asthma,Chronic,4.82,6.69,2.02,36,60,Female,695608,86.77,1.97,7.3,Therapy,16648,No,94.04,3429,0.77,80558,67.57,Respiratory,OK,Medium,Low Risk,0,
Brazil,2016,Leprosy,Autoimmune,1.22,11.06,9.54,61,60,Female,78563,77.08,2.28,4.37,Medication,20016,No,86.81,2023,0.05,15506,36.11,Bacterial,OK,Medium,High Risk,0,
Russia,2021,Diabetes,Autoimmune,14.29,1.57,7.12,0,18,Female,920061,70.1,2.61,4.03,Vaccination,38676,No,87.97,2370,0.24,87314,39.47,Metabolic,OK,High,High Risk,0,
Turkey,2020,Parkinson'S Disease,Bacterial,19.87,2.85,8.83,0,18,Other,869772,95.5,4.54,6.46,Therapy,42978,No,91.8,66,3.67,14709,48.44,Neurological,OK,High,High Risk,0,
Mexico,2008,Dengue,Parasitic,3.21,9.93,3.15,19,35,Other,173719,78.85,0.58,4.91,Therapy,49028,No,92.23,3335,4.82,13343,74.5,Viral,OK,High,Low Risk,0,
Australia,2020,Malaria,Genetic,12.89,12.34,1.52,36,60,Other,108176,54.73,3.32,5.35,Medication,9153,Yes,85.7,3411,1.03,13201,34.93,Parasitic,OK,Low,Low Risk,0,
Australia,2006,Hypertension,Respiratory,13.42,7.87,6.43,19,35,Female,635718,86.96,1.89,3.9,Medication,34292,No,59.44,23,5.58,54642,24.4,Cardiovascular,OK,High,High Risk,0,
Nigeria,2013,Covid-19,Genetic,16.42,3.73,9.38,0,18,Other,54680,79.4,1.94,1.49,Therapy,18609,Yes,59.41,3752,8.61,1528,70.12,Viral,OK,Medium,High Risk,0,
Japan,2013,Alzheimer'S Disease,Metabolic,6.24,2.74,0.38,19,35,Female,574312,88.68,0.82,4.68,Vaccination,22952,Yes,51.68,2959,0.87,17778,34.27,Neurological,OK,Medium,Low Risk,0,
South Korea,2023,Ebola,Chronic,9.74,11.62,3.87,0,18,Male,15852,91.8,2.92,8.71,Vaccination,33473,Yes,76.67,3585,3.33,33284,47.29,Viral,OK,High,Low Risk,0,
Saudi Arabia,2024,Malaria,Chronic,13.4,11.44,9.59,61,60,Other,259325,63.99,3.16,5.84,Surgery,14273,Yes,90.56,4937,7.2,78046,70.02,Parasitic,OK,Medium,High Risk,0,
China,2023,Cancer,Genetic,18.82,1.97,0.55,19,35,Male,421832,87.89,1.42,3.33,Vaccination,49084,Yes,83.95,2231,1.4,49305,30.79,Chronic,OK,High,Low Risk,0,
China,2013,Hepatitis,Metabolic,15.83,0.95,2.06,36,60,Male,696874,72.54,2.28,8.5,Surgery,44472,Yes,54.76,1410,9.36,33958,40.23,Viral,OK,High,Low Risk,0,
Australia,2003,Measles,Cardiovascular,13.62,5.88,2.9,61,60,Male,664678,90.61,3.14,4.88,Vaccination,16650,No,58.4,3739,9.92,64000,84.69,Viral,OK,Medium,Low Risk,0,
Japan,2010,Tuberculosis,Metabolic,8.19,14.32,5.89,0,18,Other,313216,57.24,2.33,7.01,Surgery,13382,No,90.54,3489,2.94,44123,52.46, Bacterial,OK,Medium,High Risk,0,
Turkey,2007,Dengue,Bacterial,15.55,12.9,6,61,60,Male,445868,73.53,0.85,7.33,Therapy,46459,No,83.86,836,1.69,94847,37.61,Viral,OK,High,High Risk,0,
South Korea,2007,Cholera,Genetic,5.13,6.29,2.12,61,60,Other,641206,85.48,0.67,4.46,Surgery,4233,Yes,65.96,1354,3.11,27899,47.13,Bacterial,OK,Low,Low Risk,0,
Mexico,2009,Ebola,Autoimmune,12.49,5.49,6.46,36,60,Male,970906,92.74,3.13,2.29,Medication,10256,Yes,94.83,556,7.33,92918,34.93,Viral,OK,Medium,High Risk,0,
Usa,2023,Dengue,Parasitic,12,5.12,9.81,19,35,Male,825564,60.93,2.6,7.1,Surgery,45724,Yes,52.79,2735,9.81,22960,59.6,Viral,OK,High,High Risk,0,
Usa,2004,Leprosy,Parasitic,12.46,8.02,2.27,36,60,Male,741313,51.61,3.24,5.53,Surgery,26577,No,93.78,4853,1.79,69394,52.76,Bacterial,OK,High,Low Risk,0,
Russia,2017,Diabetes,Respiratory,15.96,10.06,5.16,19,35,Male,753582,61.65,2.47,5.49,Medication,48049,No,58.86,4099,1.28,48858,75.36,Metabolic,OK,High,High Risk,0,
Saudi Arabia,2007,Diabetes,Parasitic,5.5,14.36,9.2,19,35,Other,546335,71.61,3.51,8.95,Surgery,37978,No,54.99,3313,4.68,65831,38.02,Metabolic,OK,High,High Risk,0,
Italy,2007,Hepatitis,Bacterial,10.86,4.27,7.6,36,60,Female,786494,87.48,0.53,1.4,Surgery,32906,Yes,67.71,3487,9.22,80649,57.03,Viral,OK,High,High Risk,0,
Russia,2000,Polio,Cardiovascular,18.78,13.15,8.79,0,18,Female,502933,68.39,0.81,7.72,Therapy,31272,Yes,64.8,1625,0.13,99433,64.48,Viral,OK,High,High Risk,0,
India,2002,Parkinson'S Disease,Bacterial,8.39,13.32,7.64,19,35,Other,664263,82.12,2.78,8.63,Vaccination,31921,Yes,96.66,298,9.55,51795,67.42,Neurological,OK,High,High Risk,0,
Uk,2014,Zika,Parasitic,7.72,0.19,1.47,0,18,Other,859912,74.33,1.35,1.9,Medication,19614,Yes,66.85,4547,0,37449,79.34,Viral,OK,Medium,Low Risk,0,
Germany,2015,Leprosy,Parasitic,7.71,9.52,5.16,36,60,Female,242729,79.06,4.17,9.9,Medication,43093,No,93.67,2410,3.78,58533,68.89,Bacterial,OK,High,High Risk,0,
India,2000,Tuberculosis,Neurological,4.11,12.63,3.34,19,35,Other,487858,72.5,3.81,1.75,Therapy,36473,Yes,63.61,1006,4.71,96423,82.85, Bacterial,OK,High,Low Risk,0,
Argentina,2018,Influenza,Cardiovascular,10.17,3.67,1.15,19,35,Female,547008,76.27,3.33,8.61,Surgery,28770,No,89.84,2174,7.55,45271,34,Viral,OK,High,Low Risk,0,
Italy,2017,Polio,Neurological,5.82,12.64,4.69,0,18,Female,780304,96.24,2.36,9.83,Therapy,44177,No,72.86,2317,8.27,52017,30.09,Viral,OK,High,Low Risk,0,
Germany,2018,Alzheimer'S Disease,Cardiovascular,16.48,0.49,7.75,0,18,Male,604361,64.79,0.68,4.45,Vaccination,11595,No,96.23,4504,3.45,16510,54.13,Neurological,OK,Medium,High Risk,0,
Argentina,2017,Malaria,Cardiovascular,13.13,9.85,1.08,36,60,Female,445865,70.18,2.04,5.28,Therapy,20492,No,53.74,3786,9.42,50516,67.37,Parasitic,OK,Medium,Low Risk,0,
Germany,2020,Polio,Viral,1.6,10.78,2.3,36,60,Other,583108,68.29,4.65,3.78,Therapy,31708,No,97.8,3740,7.11,85897,55.51,Viral,OK,High,Low Risk,0,
Canada,2010,Malaria,Neurological,4.26,13.73,0.16,36,60,Male,996493,64.39,4.74,1.9,Medication,37562,Yes,67.9,4134,2.93,70904,70.87,Parasitic,OK,High,Low Risk,0,
Indonesia,2016,Ebola,Respiratory,5.09,9.7,0.37,19,35,Female,794791,79.41,2.98,8.97,Medication,7037,No,91.09,408,4.93,7672,41.64,Viral,OK,Low,Low Risk,0,
